CustomerID,Gender,Age,City,TenureMonths,ContractType,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerServiceCalls,Churn
CUST00014,Female,18,Mumbai,28,Month-to-Month,DSL,Yes,No,No,No,Yes,Credit Card,57.12,1749.54,5,0
CUST00015,Male,19,Delhi,21,One Year,DSL,Yes,Yes,No,Yes,No,Electronic Check,67.94,1590.82,2,0
CUST00016,Female,36,Ahmedabad,14,Two Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Credit Card,51.75,780.51,1,0
CUST00017,Female,29,Pune,10,Month-to-Month,Fiber Optic,Yes,No,No,No,No,Credit Card,52.11,401.82,2,1
CUST00018,Male,49,Chennai,10,Month-to-Month,Fiber Optic,Yes,No,Yes,No,Yes,Credit Card,111.19,948.33,3,1
CUST00019,Male,31,Bangalore,24,Month-to-Month,Fiber Optic,No,Yes,Yes,No,Yes,Bank Transfer,55.87,1506.79,2,0
CUST00020,Male,23,Hyderabad,33,One Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Bank Transfer,54.73,1628.31,5,0
CUST00021,Female,66,Ahmedabad,27,Month-to-Month,DSL,No,No,No,Yes,Yes,Bank Transfer,90.57,2363.75,4,1
CUST00022,Male,41,Ahmedabad,5,One Year,DSL,No,Yes,Yes,No,No,Bank Transfer,86.6,427.78,2,0
CUST00023,Male,46,Delhi,16,Two Year,Fiber Optic,No,Yes,No,No,Yes,Electronic Check,52.81,653.75,0,0
CUST00024,Male,23,Kolkata,37,Month-to-Month,Fiber Optic,No,No,Yes,No,Yes,Electronic Check,112.06,4308.98,1,1
CUST00025,Male,36,Delhi,15,One Year,Fiber Optic,No,No,No,No,Yes,Bank Transfer,136.68,1965.05,0,0
CUST00026,Female,46,Delhi,18,Month-to-Month,DSL,No,No,Yes,Yes,No,Credit Card,45.22,625.36,3,1
CUST00027,Female,27,Chennai,35,Month-to-Month,Fiber Optic,No,No,No,Yes,Yes,Bank Transfer,89.83,3341.49,0,1
CUST00028,Male,50,Bangalore,25,Month-to-Month,Fiber Optic,No,Yes,No,Yes,Yes,Electronic Check,118.38,2884.06,3,1
CUST00029,Male,35,Ahmedabad,12,Month-to-Month,DSL,No,No,Yes,Yes,No,Electronic Check,86.74,1191.59,1,0
CUST00030,Female,40,Mumbai,54,Month-to-Month,Fiber Optic,No,Yes,No,Yes,No,Credit Card,72.61,3902.33,4,0
CUST00031,Female,35,Hyderabad,4,Month-to-Month,DSL,Yes,No,No,No,No,Credit Card,51.41,270.89,2,0
CUST00032,Male,72,Pune,72,Month-to-Month,Fiber Optic,No,No,No,No,Yes,Electronic Check,123.37,8779.08,2,0
CUST00033,Male,44,Pune,3,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Credit Card,106.94,321.97,2,0
CUST00034,Male,29,Mumbai,1,One Year,DSL,No,No,Yes,No,Yes,Electronic Check,93.73,93.73,0,0
CUST00035,Female,57,Bangalore,52,Two Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Electronic Check,96.68,5207.79,1,0
CUST00036,Male,26,Chennai,6,Month-to-Month,DSL,No,No,No,Yes,No,Electronic Check,82.35,318.48,2,1
CUST00037,Female,48,Mumbai,31,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Credit Card,105.04,3166.11,3,1
CUST00038,Female,18,Ahmedabad,39,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Mailed Check,88.33,3602.11,2,0
CUST00039,Female,25,Pune,47,Two Year,DSL,No,No,Yes,No,No,Electronic Check,93.26,4375.23,1,0
CUST00040,Male,47,Mumbai,72,One Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Electronic Check,51.31,3734.35,1,0
CUST00041,Male,56,Mumbai,8,Month-to-Month,Fiber Optic,No,No,No,Yes,No,Bank Transfer,126.22,1070.44,1,1
CUST00042,Male,47,Mumbai,29,Month-to-Month,Fiber Optic,No,Yes,No,No,Yes,Mailed Check,69.9,1855.47,0,1
CUST00043,Male,43,Pune,2,Month-to-Month,Fiber Optic,No,No,Yes,Yes,No,Electronic Check,54.5,54.5,2,1
CUST00044,Female,40,Delhi,12,Month-to-Month,DSL,No,No,Yes,No,Yes,Credit Card,76.23,1089.9,3,0
CUST00045,Female,22,Bangalore,45,Two Year,DSL,No,No,No,Yes,Yes,Electronic Check,56.05,2430.85,0,0
CUST00046,Female,34,Bangalore,10,Two Year,DSL,No,No,Yes,Yes,Yes,Electronic Check,38.74,339.53,1,0
CUST00047,Female,38,Hyderabad,21,Month-to-Month,Fiber Optic,No,Yes,Yes,No,Yes,Bank Transfer,141.21,3038.25,1,0
CUST00048,Male,60,Mumbai,16,Month-to-Month,Fiber Optic,No,No,Yes,No,Yes,Mailed Check,112.65,1696.92,2,0
CUST00049,Male,50,Delhi,24,Month-to-Month,Fiber Optic,No,Yes,No,No,Yes,Bank Transfer,134.06,3310.67,6,1
CUST00050,Male,18,Ahmedabad,72,Month-to-Month,DSL,Yes,Yes,No,No,Yes,Mailed Check,109.94,7898.98,3,0
CUST00051,Female,49,Pune,1,Two Year,Fiber Optic,Yes,No,No,No,No,Credit Card,78.9,221.54,2,1
CUST00052,Female,39,Kolkata,20,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Mailed Check,57.83,1068.02,3,1
CUST00053,Female,34,Mumbai,47,Month-to-Month,Fiber Optic,No,No,Yes,No,No,Electronic Check,68.73,3111.84,1,0
CUST00054,Male,54,Delhi,15,Month-to-Month,Fiber Optic,No,No,Yes,No,Yes,Electronic Check,98.88,1615.88,3,1
CUST00055,Male,60,Chennai,1,Two Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Bank Transfer,74.18,74.18,1,0
CUST00056,Female,58,Delhi,19,One Year,DSL,No,No,Yes,No,Yes,Credit Card,73.07,1353.08,1,0
CUST00057,Male,32,Pune,9,Month-to-Month,Fiber Optic,Yes,No,No,No,No,Electronic Check,87.24,902.64,2,0
CUST00058,Female,40,Chennai,4,Month-to-Month,DSL,No,Yes,No,Yes,Yes,Bank Transfer,51.78,261.35,0,1
CUST00059,Female,49,Mumbai,45,Month-to-Month,Fiber Optic,Yes,No,Yes,Yes,Yes,Electronic Check,92.21,4126.14,0,0
CUST00060,Female,59,Pune,17,Two Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Credit Card,41.37,603.25,2,0
CUST00061,Male,37,Ahmedabad,64,Month-to-Month,DSL,Yes,No,No,No,Yes,Electronic Check,100.55,6540.88,1,0
CUST00062,Male,42,Mumbai,39,Month-to-Month,Fiber Optic,Yes,No,No,No,Yes,Bank Transfer,56.27,2066.7,3,1
CUST00063,Male,28,Hyderabad,28,Month-to-Month,DSL,No,No,Yes,No,Yes,Electronic Check,66.65,2037.51,1,1
CUST00064,Male,27,Delhi,1,One Year,Fiber Optic,Yes,No,Yes,Yes,Yes,Credit Card,61.11,61.11,1,0
CUST00065,Male,57,Bangalore,13,Month-to-Month,DSL,Yes,No,No,Yes,No,Electronic Check,94.25,1347.22,2,0
CUST00066,Female,65,Mumbai,5,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Bank Transfer,61.89,279.15,3,0
CUST00067,Female,43,Hyderabad,58,One Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Bank Transfer,47.92,2653.76,2,0
CUST00068,Male,60,Ahmedabad,4,One Year,Fiber Optic,No,Yes,No,No,Yes,Electronic Check,100.37,362.43,2,0
CUST00069,Male,50,Hyderabad,8,One Year,Fiber Optic,Yes,No,No,Yes,Yes,Electronic Check,135.38,971.66,0,0
CUST00070,Male,35,Mumbai,17,Two Year,Fiber Optic,Yes,No,No,No,Yes,Electronic Check,121.22,1915.14,0,0
CUST00071,Male,50,Chennai,7,Month-to-Month,DSL,No,No,Yes,Yes,No,Credit Card,57.48,298.02,1,0
CUST00072,Female,68,Bangalore,5,Month-to-Month,DSL,Yes,Yes,Yes,No,No,Credit Card,90.38,598.86,4,0
CUST00073,Male,44,Pune,21,Two Year,DSL,No,No,Yes,No,Yes,Electronic Check,37.91,638.49,3,1
CUST00074,Male,68,Bangalore,2,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Bank Transfer,49.23,287.48,5,1
CUST00075,Male,18,Delhi,1,One Year,Fiber Optic,Yes,No,No,No,Yes,Mailed Check,97.45,97.45,0,0
CUST00076,Female,57,Delhi,11,One Year,Fiber Optic,No,No,Yes,No,Yes,Electronic Check,72.82,864.32,0,1
CUST00077,Female,46,Kolkata,30,Month-to-Month,Fiber Optic,Yes,No,No,Yes,No,Credit Card,124.64,3881.8,0,1
CUST00078,Male,40,Delhi,19,Month-to-Month,Fiber Optic,Yes,Yes,Yes,No,No,Credit Card,136.73,2771.45,0,0
CUST00079,Female,46,Kolkata,13,One Year,Fiber Optic,Yes,No,No,Yes,Yes,Credit Card,52.39,538.66,1,0
CUST00080,Female,18,Delhi,20,Two Year,DSL,No,No,Yes,No,No,Electronic Check,50.67,1092.68,1,0
CUST00081,Female,41,Delhi,10,One Year,Fiber Optic,No,No,Yes,No,Yes,Electronic Check,92,762.94,1,0
CUST00082,Male,50,Bangalore,66,Month-to-Month,Fiber Optic,Yes,No,Yes,No,Yes,Electronic Check,103.24,6754.88,4,0
CUST00083,Female,67,Ahmedabad,1,Month-to-Month,DSL,No,Yes,No,Yes,Yes,Credit Card,104.11,196.88,3,0
CUST00084,Female,37,Ahmedabad,26,Month-to-Month,Fiber Optic,No,No,Yes,Yes,Yes,Bank Transfer,133.16,3400.55,2,0
CUST00085,Female,32,Delhi,53,Month-to-Month,DSL,No,No,Yes,Yes,No,Electronic Check,84.6,4409.15,1,1
CUST00086,Female,37,Bangalore,39,Month-to-Month,Fiber Optic,No,No,Yes,Yes,No,Electronic Check,75.42,2787.8,0,1
CUST00087,Female,58,Mumbai,4,Two Year,DSL,No,No,No,Yes,No,Electronic Check,85.35,167.98,0,1
CUST00088,Male,49,Hyderabad,8,One Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Bank Transfer,54.19,279.63,4,1
CUST00089,Female,37,Bangalore,30,One Year,Fiber Optic,Yes,No,No,No,No,Electronic Check,139.83,4345.09,1,1
CUST00090,Female,52,Pune,2,Month-to-Month,DSL,No,Yes,No,No,No,Credit Card,40.41,40.41,2,0
CUST00091,Female,46,Ahmedabad,40,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Bank Transfer,79.88,3272.35,4,0
CUST00092,Male,59,Bangalore,30,Two Year,DSL,No,No,No,Yes,Yes,Bank Transfer,41.57,1354.55,1,0
CUST00093,Female,34,Hyderabad,31,Month-to-Month,Fiber Optic,Yes,No,Yes,Yes,No,Bank Transfer,89.09,2788.95,1,1
CUST00094,Female,40,Pune,2,Month-to-Month,Fiber Optic,No,No,Yes,Yes,No,Electronic Check,109.78,311.87,0,1
CUST00095,Male,39,Kolkata,30,Month-to-Month,DSL,No,Yes,No,Yes,No,Bank Transfer,88.27,2709.01,1,1
CUST00096,Female,23,Mumbai,27,Two Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Bank Transfer,85.49,2290.45,1,0
CUST00097,Female,49,Delhi,42,Two Year,Fiber Optic,Yes,Yes,Yes,No,Yes,Bank Transfer,95.39,3959.46,2,0
CUST00098,Female,48,Bangalore,1,Month-to-Month,Fiber Optic,No,Yes,Yes,No,No,Electronic Check,74.87,251.4,3,0
CUST00099,Male,45,Delhi,1,Two Year,Fiber Optic,No,No,No,No,No,Electronic Check,119.63,308.41,2,0
CUST00100,Male,41,Delhi,11,Month-to-Month,Fiber Optic,No,Yes,No,No,Yes,Bank Transfer,125.81,1444.42,1,0
CUST00101,Female,23,Mumbai,3,Month-to-Month,Fiber Optic,No,No,Yes,Yes,Yes,Mailed Check,66.56,78.6,2,1
CUST00102,Male,38,Chennai,19,Two Year,Fiber Optic,No,No,Yes,No,No,Bank Transfer,114.49,2154.47,4,1
CUST00103,Female,39,Delhi,59,Two Year,Fiber Optic,Yes,No,No,Yes,No,Mailed Check,126.46,7459.75,1,0
CUST00104,Female,32,Mumbai,11,One Year,Fiber Optic,No,No,No,Yes,No,Credit Card,109.99,1313.08,2,0
CUST00105,Female,42,Delhi,44,One Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Electronic Check,59.73,2695.23,2,0
CUST00106,Male,51,Kolkata,1,Two Year,Fiber Optic,No,Yes,Yes,Yes,No,Bank Transfer,96.48,102.41,1,0
CUST00107,Female,73,Pune,4,One Year,Fiber Optic,No,No,No,No,Yes,Bank Transfer,83.17,404.83,3,1
CUST00108,Male,47,Bangalore,1,Two Year,Fiber Optic,Yes,No,Yes,No,No,Bank Transfer,102.16,102.16,3,0
CUST00109,Male,48,Bangalore,9,One Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Mailed Check,78.14,813.91,1,0
CUST00110,Male,43,Ahmedabad,57,Two Year,DSL,No,Yes,Yes,Yes,No,Credit Card,94.56,5274.57,6,0
CUST00111,Male,18,Delhi,2,Two Year,DSL,No,No,Yes,No,No,Electronic Check,74.93,212.42,0,0
CUST00112,Female,44,Delhi,22,Month-to-Month,Fiber Optic,No,Yes,Yes,No,No,Mailed Check,71.47,1417.93,4,1
CUST00113,Female,45,Delhi,14,Two Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Electronic Check,81.68,989.3,1,0
CUST00114,Male,80,Mumbai,66,Month-to-Month,Fiber Optic,No,No,No,No,Yes,Bank Transfer,79.38,5053.34,1,1
CUST00115,Female,42,Bangalore,3,Month-to-Month,Fiber Optic,No,No,No,No,No,Mailed Check,76.79,394.46,2,1
CUST00116,Male,49,Pune,5,One Year,DSL,No,No,No,No,Yes,Electronic Check,67.42,378.92,3,0
CUST00117,Female,44,Chennai,1,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Mailed Check,40.84,40.84,2,0
CUST00118,Female,27,Bangalore,13,Month-to-Month,DSL,No,No,No,Yes,No,Electronic Check,107.84,1517.03,3,0
CUST00119,Female,62,Ahmedabad,7,Two Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Bank Transfer,69.54,537.21,2,0
CUST00120,Male,56,Mumbai,48,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Electronic Check,94.14,4566.75,1,0
CUST00121,Female,56,Delhi,22,Month-to-Month,Fiber Optic,No,No,Yes,No,Yes,Bank Transfer,75.46,1654.94,1,1
CUST00122,Male,31,Hyderabad,22,Two Year,Fiber Optic,Yes,Yes,No,No,No,Bank Transfer,107.95,2178.07,1,0
CUST00123,Female,66,Chennai,18,Month-to-Month,Fiber Optic,Yes,No,Yes,No,No,Credit Card,103.61,1768.37,3,1
CUST00124,Male,23,Mumbai,2,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Bank Transfer,69.69,69.69,6,0
CUST00125,Female,53,Bangalore,14,Month-to-Month,Fiber Optic,No,Yes,Yes,No,No,Mailed Check,140.33,2029.58,2,1
CUST00126,Female,77,Chennai,72,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Bank Transfer,74.57,5268.49,1,1
CUST00127,Female,30,Chennai,43,One Year,Fiber Optic,Yes,No,No,No,No,Mailed Check,111.83,4788.76,3,0
CUST00128,Male,36,Chennai,53,Two Year,Fiber Optic,No,Yes,Yes,Yes,No,Credit Card,48.06,2488.55,1,0
CUST00129,Female,46,Delhi,41,Month-to-Month,Fiber Optic,No,No,No,No,Yes,Credit Card,79.43,3113.91,5,1
CUST00130,Male,37,Mumbai,2,Two Year,Fiber Optic,No,No,No,Yes,Yes,Electronic Check,119.58,422.51,1,1
CUST00131,Female,21,Bangalore,6,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Mailed Check,93.13,732.15,2,0
CUST00132,Male,46,Mumbai,1,Month-to-Month,Fiber Optic,No,No,Yes,No,Yes,Electronic Check,100.84,100.84,3,1
CUST00133,Male,29,Ahmedabad,8,One Year,Fiber Optic,Yes,No,Yes,Yes,Yes,Credit Card,133.91,1202.23,0,0
CUST00134,Female,52,Bangalore,2,One Year,Fiber Optic,No,Yes,No,No,Yes,Electronic Check,96.25,187.85,4,1
CUST00135,Male,31,Delhi,15,One Year,Fiber Optic,No,No,No,No,Yes,Credit Card,103.55,1662.74,2,1
CUST00136,Male,68,Kolkata,27,Month-to-Month,Fiber Optic,No,Yes,No,Yes,No,Mailed Check,86.78,2203.52,3,1
CUST00137,Male,33,Hyderabad,49,Month-to-Month,Fiber Optic,Yes,No,Yes,No,Yes,Credit Card,108.42,5165.49,4,0
CUST00138,Male,40,Delhi,33,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Mailed Check,62.33,2213.19,2,0
CUST00139,Female,57,Kolkata,66,Month-to-Month,Fiber Optic,No,Yes,Yes,Yes,No,Credit Card,87.08,5906.41,1,0
CUST00140,Female,26,Pune,1,One Year,Fiber Optic,Yes,No,Yes,No,Yes,Mailed Check,139.94,139.94,3,0
CUST00141,Male,48,Chennai,1,Month-to-Month,DSL,No,No,No,No,No,Credit Card,47.79,195.85,0,1
CUST00142,Male,64,Mumbai,25,One Year,Fiber Optic,No,No,No,Yes,No,Electronic Check,61.58,1606.48,3,0
CUST00143,Male,20,Hyderabad,8,Month-to-Month,Fiber Optic,No,No,Yes,Yes,No,Credit Card,55.94,321.52,0,0
CUST00144,Male,47,Kolkata,7,Month-to-Month,DSL,No,Yes,No,No,No,Credit Card,62.4,368.38,3,0
CUST00145,Female,48,Mumbai,9,Month-to-Month,Fiber Optic,Yes,No,Yes,No,Yes,Electronic Check,88.24,648.58,1,1
CUST00146,Female,56,Delhi,7,Month-to-Month,DSL,No,No,No,Yes,Yes,Electronic Check,46.62,435.92,2,0
CUST00147,Male,26,Pune,17,Two Year,DSL,No,No,Yes,No,Yes,Electronic Check,70.6,1394.3,2,0
CUST00148,Male,25,Mumbai,13,Month-to-Month,DSL,No,No,No,Yes,Yes,Electronic Check,80.83,1069.34,2,0
CUST00149,Male,52,Kolkata,17,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Bank Transfer,92.57,1636.04,5,1
CUST00150,Female,49,Bangalore,26,Two Year,Fiber Optic,Yes,No,No,No,Yes,Credit Card,126.73,3393.42,1,0
CUST00151,Female,48,Bangalore,11,One Year,Fiber Optic,No,No,Yes,No,Yes,Bank Transfer,108.36,1081.66,2,0
CUST00152,Male,50,Mumbai,6,Month-to-Month,Fiber Optic,No,No,Yes,Yes,Yes,Mailed Check,62.16,307.36,0,1
CUST00153,Male,34,Kolkata,4,Month-to-Month,Fiber Optic,Yes,No,No,No,Yes,Credit Card,60.06,205.17,2,1
CUST00154,Female,48,Bangalore,10,One Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Credit Card,94.43,982.14,1,0
CUST00155,Female,49,Hyderabad,32,Two Year,DSL,No,No,No,No,Yes,Electronic Check,76.97,2603.24,4,0
CUST00156,Male,34,Chennai,33,Two Year,DSL,No,No,No,Yes,No,Credit Card,46.2,1426.28,3,0
CUST00157,Male,72,Chennai,26,Month-to-Month,DSL,No,No,No,No,No,Bank Transfer,57.74,1489.6,2,0
CUST00158,Male,52,Ahmedabad,6,Two Year,Fiber Optic,No,No,No,Yes,No,Electronic Check,108.24,750.05,1,0
CUST00159,Female,27,Hyderabad,21,Month-to-Month,DSL,No,Yes,Yes,No,No,Electronic Check,79.63,1507.18,0,1
CUST00160,Male,54,Bangalore,20,Month-to-Month,DSL,Yes,No,No,No,No,Credit Card,80.95,1624.16,3,1
CUST00161,Male,30,Ahmedabad,15,Two Year,DSL,No,Yes,No,Yes,No,Bank Transfer,49.23,596.2,2,0
CUST00162,Female,56,Chennai,19,Month-to-Month,Fiber Optic,Yes,No,No,Yes,Yes,Bank Transfer,109.24,2091.22,4,1
CUST00163,Male,62,Delhi,16,Month-to-Month,DSL,No,No,Yes,No,Yes,Mailed Check,93.94,1610.17,2,0
CUST00164,Female,32,Mumbai,20,Month-to-Month,Fiber Optic,Yes,No,No,Yes,No,Mailed Check,132.56,2545.98,4,0
CUST00165,Male,59,Pune,30,Month-to-Month,DSL,Yes,No,Yes,No,Yes,Electronic Check,91.57,2886.89,4,1
CUST00166,Male,51,Bangalore,2,One Year,DSL,Yes,No,Yes,No,Yes,Electronic Check,80.35,94.62,2,0
CUST00167,Female,57,Chennai,33,One Year,Fiber Optic,No,No,Yes,No,Yes,Credit Card,113.27,3614.22,1,0
CUST00168,Male,73,Bangalore,3,Month-to-Month,DSL,No,No,Yes,No,Yes,Credit Card,73.96,208.01,2,1
CUST00169,Female,41,Delhi,1,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Credit Card,55.88,206.31,0,1
CUST00170,Female,33,Hyderabad,72,Two Year,Fiber Optic,Yes,No,Yes,No,Yes,Electronic Check,119.05,8399.17,1,0
CUST00171,Male,31,Mumbai,72,Two Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Electronic Check,69.56,4939.35,4,0
CUST00172,Female,32,Bangalore,1,Month-to-Month,DSL,No,No,Yes,No,Yes,Electronic Check,81.6,142.87,0,1
CUST00173,Male,43,Hyderabad,14,Two Year,DSL,No,No,No,Yes,No,Mailed Check,98.38,1320.35,0,0
CUST00174,Female,50,Bangalore,4,One Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Mailed Check,108.95,264.13,2,0
CUST00175,Male,49,Kolkata,15,Month-to-Month,DSL,No,Yes,Yes,No,Yes,Electronic Check,81.04,1148.4,0,1
CUST00176,Female,57,Pune,42,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Electronic Check,42.38,1908.34,0,0
CUST00177,Male,45,Kolkata,72,Month-to-Month,Fiber Optic,Yes,No,No,Yes,Yes,Electronic Check,88.05,6526.82,3,1
CUST00178,Male,66,Mumbai,24,One Year,Fiber Optic,Yes,Yes,No,No,No,Mailed Check,137.29,3110.87,0,0
CUST00179,Female,41,Delhi,10,Month-to-Month,DSL,No,Yes,No,No,No,Mailed Check,60.18,629.51,3,0
CUST00180,Female,80,Hyderabad,22,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Electronic Check,109.95,2261.02,1,1
CUST00181,Male,54,Ahmedabad,8,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Electronic Check,45.9,439.36,1,1
CUST00182,Male,32,Pune,57,Two Year,DSL,No,No,No,Yes,Yes,Credit Card,71.79,3895.19,6,0
CUST00183,Female,28,Pune,49,Month-to-Month,DSL,No,Yes,Yes,Yes,Yes,Credit Card,76.08,3533.82,3,0
CUST00184,Female,52,Delhi,19,Two Year,Fiber Optic,No,No,No,No,Yes,Bank Transfer,67.71,1397.24,1,0
CUST00185,Male,41,Bangalore,9,Two Year,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Yes,Credit Card,95.76,691.61,1,0
CUST00186,Male,55,Bangalore,8,Month-to-Month,Fiber Optic,Yes,No,Yes,No,Yes,Mailed Check,108.34,788.79,0,0
CUST00187,Male,52,Mumbai,1,Month-to-Month,DSL,No,No,No,No,Yes,Electronic Check,56.12,239.34,2,0
CUST00188,Female,43,Mumbai,40,Month-to-Month,DSL,Yes,No,No,No,No,Bank Transfer,66.88,2869.3,2,0
CUST00189,Male,32,Ahmedabad,14,Two Year,DSL,No,No,No,Yes,Yes,Electronic Check,81.44,1004.72,2,0
CUST00190,Male,22,Delhi,9,Month-to-Month,Fiber Optic,Yes,No,Yes,No,No,Credit Card,79.09,736.17,2,0
CUST00191,Female,38,Delhi,15,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Bank Transfer,101.57,1547.21,2,1
CUST00192,Male,57,Mumbai,40,Month-to-Month,DSL,No,No,Yes,Yes,No,Mailed Check,51.6,2044.95,0,0
CUST00193,Female,48,Ahmedabad,3,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Bank Transfer,58.52,345.44,3,1
CUST00194,Male,26,Hyderabad,46,Two Year,Fiber Optic,Yes,No,Yes,Yes,No,Bank Transfer,58.67,2800.43,3,0
CUST00195,Male,47,Chennai,54,One Year,DSL,Yes,No,No,No,No,Bank Transfer,47.29,2659.47,5,0
CUST00196,Male,50,Pune,70,Two Year,DSL,Yes,No,No,Yes,Yes,Electronic Check,54.92,3752.23,3,0
CUST00197,Female,31,Bangalore,12,Month-to-Month,DSL,No,No,No,Yes,Yes,Bank Transfer,109.94,1293.01,1,0
CUST00198,Male,47,Chennai,5,Month-to-Month,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No,Bank Transfer,46.6,227.97,1,1
CUST00199,Female,45,Mumbai,11,Two Year,Fiber Optic,No,No,Yes,No,Yes,Credit Card,64.24,626.2,0,0
CUST00200,Female,27,Delhi,9,Month-to-Month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Credit Card,76.72,528.41,2,0
CUST00201,Female,50,Pune,4,Two Year,DSL,Yes,No,No,No,No,Bank Transfer,75.01,150.58,2,0
CUST00202,Male,53,Kolkata,22,Month-to-Month,Fiber Optic,Yes,No,No,No,Yes,Bank Transfer,119.83,2508.53,2,0
